Neha Kakkar,"Neha Kakkar (born 6 June 1988) is an Indian singer. She began performing at religious events at the age of four and participated in the second season of the singing reality show, Indian Idol, in which she was eliminated early. After several struggles, she made her Bollywood debut as a chorus singer in the film Meerabai Not Out. She rose to prominence upon the release of the dance track ""Second Hand Jawani"" from Cocktail which was followed by several other popular party songs including ""Sunny Sunny"" from Yaariyan and ""London Thumakda"" from Queen.
Afterwards, she mostly performed party tracks like ""Aao Raja"" from Gabbar Is Back, ""Tu Isaq Mera"" from Hate Story 3, ""Humne Pee Rakhi Hai"" from Sanam Re  and ""Kar Gayi Chull"" from Kapoor & Sons.",https://upload.wikimedia.org/wikipedia/commons/5/53/Neha_Kakkar_Birthday_Bash.jpg,Music,0
Shreya Ghoshal,"Shreya Ghoshal (born 12 March 1984) is an Indian singer, composer and music producer. She has received four National Film Awards, four Kerala State Film Awards, two Tamil Nadu State Film Awards, seven Filmfare Awards including six for Best Female Playback Singer and ten Filmfare Awards South. She has recorded songs for film music and albums in various Indian languages and has established herself as a leading playback singer of Indian cinema.
Ghoshal aspired to become a playback singer from an early age. At the age of four, she started learning music.",https://upload.wikimedia.org/wikipedia/commons/b/bd/Shreya_Ghoshal_at_Filmfare_Awards_South.jpg,Music,1
Armaan Malik,"Armaan Malik (born 22 July 1995) is an Indian singer, songwriter and an actor. He is known for his singing in Hindi, Telugu, Kannada, Tamil, Bengali, Gujarati & Marathi. A finalist on Sa Re Ga Ma Pa L'il Champs (2006), Armaan advanced to eighth place with public votes. He is the brother of composer Amaal Mallik. Previously represented by Universal Music India, he is now signed on by T-Series.",https://upload.wikimedia.org/wikipedia/commons/1/15/Armaan_Malik_2016.jpg,Music,2
Justin Bieber,"Justin Drew Bieber (; born March 1, 1994) is a Canadian singer, songwriter, and actor. Discovered at 13 years old by talent manager Scooter Braun after he had watched his YouTube cover song videos, Bieber was signed to RBMG Records in 2008. With Bieber's debut EP My World, released in late 2009, Bieber became the first artist to have seven songs from a debut record chart on the Billboard Hot 100.Bieber released his debut studio album My World 2.0 in 2010. Containing the hit single ""Baby"", the album debuted at number one on the US Billboard 200, making Bieber the youngest solo male act to top the chart in 47 years. Following his debut album and promotional tours, he released his 3D biopic-concert film Justin Bieber: Never Say Never, which was a box office success.",https://upload.wikimedia.org/wikipedia/commons/4/40/Justin_Bieber_in_2019_%28crop%29.jpg,Music,3
Lady Gaga,"Stefani Joanne Angelina Germanotta ( STEF-ən-ee JUR-mə-NOT-ə) (born March 28, 1986), known professionally as Lady Gaga, is an American singer, songwriter, record producer, actress, and businesswoman. She is known for reinventing herself throughout her career and for her versatility in numerous areas of the entertainment industry. Gaga began performing as a teenager, singing at open mic nights and acting in school plays. She studied at Collaborative Arts Project 21, through New York University's Tisch School of the Arts, before dropping out to pursue a music career. When Def Jam Recordings canceled her contract, she worked as a songwriter for Sony/ATV Music Publishing, where Akon helped her sign a joint deal with Interscope Records and his own label KonLive Distribution in 2007.",https://upload.wikimedia.org/wikipedia/commons/2/2c/Lady_Gaga_interview_2016.jpg,Music,4
Ariana Grande,"Ariana Grande-Butera (; born June 26, 1993) is an American singer, songwriter, and actress. A prominent figure in popular music, Grande is known for her four-octave vocal range and the use of the whistle register. Born in Boca Raton, Florida, Grande began her career in the 2008 Broadway musical 13. She rose to prominence for her role as Cat Valentine in the Nickelodeon television series Victorious (2010–2013). She signed with Republic Records in 2011 after the label's executives discovered YouTube videos of her covering songs.",https://upload.wikimedia.org/wikipedia/commons/d/dd/Ariana_Grande_Grammys_Red_Carpet_2020.png,Music,5
Edward Christopher Sheeran,"Edward Christopher Sheeran,  (; born 17 February 1991) is an English singer, songwriter, record producer, and actor. In early 2011, Sheeran independently released the extended play, No. 5 Collaborations Project. After signing with Asylum Records, his debut album, + (pronounced ""plus""), was released in September 2011 and topped the UK Albums Chart. It contained his first hit single ""The A Team"".",https://upload.wikimedia.org/wikipedia/commons/c/c1/Ed_Sheeran-6886_%28cropped%29.jpg,Music,6
Taylor Alison Swift,"Taylor Alison Swift (born December 13, 1989) is an American singer-songwriter. She is best known for her narrative songwriting that often centers around her personal life and has received widespread critical praise and media coverage. At age 14, Swift became the youngest artist signed by the Sony/ATV Music publishing house and, at age 15, she signed her first record deal. Her 2006 eponymous debut album was the longest-charting album of the 2000s on the Billboard 200. Its third single, ""Our Song"", made her the youngest person to single-handedly write and perform a number-one song on the Billboard Hot Country Songs chart.",https://upload.wikimedia.org/wikipedia/commons/b/b5/191125_Taylor_Swift_at_the_2019_American_Music_Awards_%28cropped%29.png,Music,7
Jennifer Lopez,"Jennifer Lynn Lopez (born July 24, 1969), also known by her nickname J.Lo, is an American actress, singer, dancer, fashion designer, producer, and businesswoman. In 1991, Lopez began appearing as a Fly Girl dancer on In Living Color, where she remained a regular until she decided to pursue an acting career in 1993. For her first leading role in the 1997 Selena biopic of the same name, Lopez received a Golden Globe nomination and became the first Latin actress to earn over US$1 million for a film. She went on to star in Anaconda (1997) and Out of Sight (1998), later establishing herself as the highest-paid Latin actress in Hollywood.Lopez ventured into the music industry with her debut studio album On the 6 (1999), which helped propel the Latin pop movement in American music. With the simultaneous release of her second studio album J.Lo and her romantic comedy The Wedding Planner in 2001, Lopez became the first woman to have a number-one album and film in the same week.",https://upload.wikimedia.org/wikipedia/commons/b/b4/TIFF_2019_jlo_%281_of_1%29-2_%2848696671561%29_%28cropped%29.jpg,Music,8
Katy Perry,"Katheryn Elizabeth Hudson (born October 25, 1984), known by her stage name Katy Perry, is an American singer, songwriter and television judge. After singing in church during her childhood, she pursued a career in gospel music as a teenager. Perry signed with Red Hill Records and released her debut studio album Katy Hudson under her birth name in 2001, which was commercially unsuccessful. She moved to Los Angeles the following year to venture into secular music after Red Hill ceased operations and she subsequently began working with producers Glen Ballard, Dr. Luke, and Max Martin.",https://upload.wikimedia.org/wikipedia/commons/9/92/Katy_Perry_2019_by_Glenn_Francis_%28cropped%29.jpg,Music,9
Shahid Kapoor,"Shahid Kapoor (pronounced [ʃaːɦɪd̪ kəˈpuːr]; born 25 February 1981), is an Indian actor who appears in Hindi films. Initially recognised for portraying romantic roles, he has since taken on parts in action films and thrillers, and is the recipient of several awards, including three Filmfare Awards.
The son of actors Pankaj Kapur and Neelima Azeem, Kapoor was born in New Delhi. His parents separated when he was three, and he continued living with his mother. They moved to Mumbai when he was 10, where he joined Shiamak Davar's dance academy.",https://upload.wikimedia.org/wikipedia/commons/b/bd/Shahid%2C_Alia%2C_and_Katrina_at_IIFA_2017_%28cropped%29.jpg,Movies,10
Salman Khan,"Abdul Rashid Salim Salman Khan (pronounced [səlˈmaːn ˈxaːn]; Hindi: pronunciation ; 27 December 1965) is an Indian film actor, producer, occasional singer and television personality. In a film career spanning over thirty years, Khan has received numerous awards, including two National Film Awards as a film producer, and two Filmfare Awards for acting. He is cited in the media as one of the most commercially successful actors of both world and Indian cinema. Forbes included him in their 2015 list of Top-Paid 100 Celebrity Entertainers in world; Khan tied with Amitabh Bachchan for No. 71 on the list, both with earnings of $33.5 million.",https://upload.wikimedia.org/wikipedia/commons/8/81/Salman_Khan_filmfare.jpg,Movies,11
Yash (actor),"Naveen Kumar Gowda, known by his stage name as Yash, is an Indian film actor from Kannada cinema. He is known for his roles in the movies Rajadhani, Mr. and Mrs. Ramachari, Kirataka, K.G.F: Chapter 1. His latest film K.G.F: Chapter 2 is scheduled to be released on October 23, 2020.Yash made his feature film debut with Jambada Hudugi (2007) and then  Moggina Manasu (2008), he played the male lead opposite then future wife Radhika.",https://upload.wikimedia.org/wikipedia/commons/3/3e/Yash_kgf_event.jpg,Movies,12
